,place_name,place_type,place_address,bicimad_station,station_location,distance
58,Parroquia Santa Cruz,museos,CALLE ATOCHA 6,Conde de Romanones,Plaza del Conde de Romanones nº 9,87.9263923657583
59,Planetario de Madrid,museos,AVENIDA PLANETARIO 16,Embajadores 191,Calle Sodio nº 1B,690.104424867201
60,Real Basílica San Francisco el Grande,museos,CALLE SAN BUENAVENTURA 1,Plaza de San Francisco,Plaza de San Francisco nº 5,43.82768492123296
61,Real Fábrica de Tapices,museos,CALLE FUENTERRABIA 2,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,259.5764542181538
62,Real Monasterio de Santa Isabel,museos,CALLE SANTA ISABEL 48,Antón Martín,Calle Atocha nº 54,38.83226043931026
63,Real Monasterio de la Encarnación,museos,PLAZA ENCARNACION 1,San Quintín,Calle Pavía nº 6,52.639988789424876
64,Real Monasterio de las Descalzas Reales,museos,PLAZA DESCALZAS 3,Plaza de Celenque A,Plaza de Celenque nº 1,107.5860580090725
65,Templo de Debod,museos,CALLE FERRAZ 1,Ferraz,Calle Evaristo San Miguel nº 2,139.55685359843184
66,The Robot Museum (Museo del Robot),museos,CALLE SERRANO 61 PLANTA BAJA,Castellana 42,Paseo de la Castellana nº 42,170.69272827889927
67,Yacimiento paleontológico. Estación de Metro Carpetana,museos,CALLE VIA CARPETANA 141,Caramuel,Calle Caramuel nº 51,2332.784571525029
68,Zapadores Ciudad del Arte,museos,CALLE ANTONIO DE CABEZON 70,Pedro Rico,Calle Pedro Rico nº 4,1790.8680029448763
